city,2020,2021,2022,2023,2024,-0.825788946,2.47159056,-0.176330489,-0.935435686,
上海市,-18724.6171,-3262.035277,-11324.45087,-9327.604915,-602.2304088,15462.58183,8062.415597,1996.845959,8725.374506,34247.21789
盐城市,9676.672706,-1230.64311,1382.262478,-2346.305667,-2893.014961,,,,,
常州市,-2856.655051,-481.1440166,-2297.635303,-1154.787562,-1550.289516,,,,,
宁波市,-6504.289428,-1036.149205,-5099.340127,-6431.284094,-8860.408206,,,,,
芜湖市,2655.839386,-407.0168168,367.2133774,-561.9188922,-581.5294169,,,,,
扬州市,2466.209726,-542.4592815,1795.710048,1538.887887,1484.252368,,,,,
南通市,2914.739465,-1375.988409,-86.1226238,-3608.949118,-4985.053231,,,,,
合肥市,2838.389386,1621.225037,6615.828303,3772.123653,5037.020175,,,,,
宣城市,3708.36893,-964.5330255,-337.5686481,-1335.386684,596.9890273,,,,,
铜陵市,2476.728932,-535.375533,-88.88917658,-1005.974058,-872.3553638,,,,,
嘉兴市,-2562.916371,-745.4303998,-3417.395957,-1905.245641,-4271.577816,,,,,
镇江市,-116.8570862,137.043386,-1872.322173,-1238.484139,-1304.462221,,,,,
绍兴市,108.7049122,-233.7022009,-1252.766472,-653.8194159,518.2146248,,,,,
无锡市,-4947.515895,13.99101406,-2249.353903,-891.0569317,-1547.832486,,,,,
湖州市,-1565.174995,2498.686998,1546.796247,5908.59281,3329.342254,1.61532369,-4.308165237,0.933306643,0.038729011,
杭州市,-3932.436861,6390.842619,1203.964522,18052.24053,18779.55408,10323.27948,5186.878098,16848.27601,727.3135487,33085.74714
苏州市,-15450.6021,655.4815345,-260.1543361,-6641.492768,-9991.393482,16106.08364,915.6358707,6381.338432,3349.900713,26752.95865
马鞍山市,1726.971588,-1587.168957,-2575.182547,-2106.010414,-2746.779843,,,,,
池州市,2378.55863,89.49879484,1059.573179,2410.580327,1440.153028,,,,,
舟山市,-333.0616339,747.9478327,470.039276,279.6815273,-535.5996453,1.44530062,-0.591245394,-0.680623245,1.522183929,
南京市,-3031.428488,7249.600073,11845.54747,18011.1756,19635.80974,10281.02856,4595.947393,6165.628136,1624.634137,22667.23823
滁州市,11163.90543,-553.5650373,3258.892056,2536.342298,2507.835362,,,,,
安庆市,8155.738424,-3226.956504,-676.0885476,-3321.744227,508.7327444,,,,,
金华市,633.6839784,279.3446439,1751.663516,-1983.619779,-1984.319258,,,,,
台州市,246.0679169,-1739.306959,-958.7015773,-3170.166811,-4929.312672,,,,,
泰州市,4300.912409,-359.4188929,895.821236,-2565.643051,-3151.135625,,,,,
,,,,,,52172.97351,,,,
