city,2020,2021,2022
自贡市,-3915.999853780038,-1695.4380907538418,1509.8113269474543
雅安市,578.6150016891147,4.732897510648172,292.5686045096372
眉山市,1713.2014036634266,476.494994635274,-693.2911382233818
德阳市,-2336.563205440301,-1712.9901244620778,-2273.3632516711655
南充市,-11705.92028020926,-2876.808637893806,1581.1535006017168
泸州市,-3833.136692843924,-2632.9262645035583,-87.86807777766629
重庆市,42899.82413200465,28850.68564514151,-2566.503074573466
宜宾市,-5798.473233970052,-2723.8365890209466,64.3022280148319
内江市,-6164.398425634976,-4026.1527438178464,2806.9976738925434
广安市,-6252.386457730066,-5324.259360703269,753.4868601095891
遂宁市,-4157.067621126471,-2339.8351299545857,1647.9316540976956
达州市,-10445.91285937451,-208.39600810425065,618.6506622739888
资阳市,-4129.635045152804,-3629.6709856420553,4572.402780712484
绵阳市,-4903.077283002499,-688.7967571375565,434.1934101446962
成都市,21128.701671194143,114.37889431036547,-10608.537166476479
乐山市,1712.6100823696142,456.26720937256783,137.18891567339236
